Refer to https://github.com/lutherastrophysics/new_ref_file for more info
Star Data Extractor Tool
    Images: m23_3.5_071.fit (2003) and m23_7.0_2022-06-19_0028.fit
    Stars Found: 2508 (good stars) in 2003 img + 1246 in 2022
    Radius of star diaphragm:
    Sky annulus inner radius:
    Sky annulus outer radius:
    Threshold factor: High =
         X	         Y	     Sigma	      FWHM	   Sky ADU	  Star ADU
    796.93	    135.77	      1.36	      3.18	    707.10	  39835.00
    913.26	    550.13	      1.25	      2.94	    706.40	  39099.70
     46.61	    647.05	      1.78	      4.18	    706.70	  38585.00
    528.60	    630.03	      1.35	      3.17	    737.40	  38301.70
    671.97	    444.90	      1.27	      2.99	    732.50	  38116.50
    675.02	    392.34	      1.27	      2.98	    728.50	  37862.20
    219.84	     53.11	      1.66	      3.89	    709.20	  36890.10
    185.68	    624.47	      1.79	      4.21	    721.00	  36659.50
    234.86	    492.93	      1.63	      3.83	    733.50	  36659.40
    185.69	    624.47	      1.80	      4.23	    721.00	  36654.50
    177.35	    328.18	      1.83	      4.29	    725.80	  35935.90
    354.75	    684.91	      1.55	      3.63	    731.30	  35816.50
    303.62	    880.92	      1.75	      4.11	    714.00	  35682.40
    196.67	    574.36	      1.69	      3.98	    719.00	  35208.90
    438.56	    825.58	      1.68	      3.95	    723.40	  35091.90
    260.54	    284.40	      1.57	      3.68	    733.60	  34907.70
    255.74	    670.56	      1.73	      4.07	    724.50	  34886.10
    644.58	    342.92	      1.28	      3.00	    724.50	  34745.80
    816.06	    895.64	      1.51	      3.56	    703.80	  34711.90
    260.46	    284.93	      1.57	      3.68	    734.30	  34693.70
     53.34	    821.88	      2.05	      4.82	    695.80	  34559.80
    716.73	    744.92	      1.37	      3.21	    714.90	  34349.40
    755.30	    324.90	      1.28	      3.00	    724.70	  34259.40
    429.37	    702.51	      1.58	      3.71	    732.10	  34088.00
    790.06	    593.28	      1.30	      3.05	    727.40	  33630.30
    457.35	    253.02	      1.52	      3.57	    723.00	  33584.50
    671.06	    469.98	      1.27	      2.99	    754.40	  32818.40
     41.04	    719.92	      1.92	      4.52	    704.50	  31735.20
    538.01	    238.08	      1.33	      3.13	    715.00	  31515.20
    773.49	    918.44	      1.67	      3.92	    701.80	  30906.80
    445.58	    649.97	      1.52	      3.58	    728.20	  30757.80
    412.46	    771.92	      1.69	      3.98	    722.20	  30609.90
    822.48	    625.90	      1.41	      3.31	    720.90	  30583.20
    214.22	     88.87	      1.85	      4.35	    718.70	  29639.20
    215.22	    552.13	      1.79	      4.21	    723.40	  29632.80
    980.52	    892.95	      1.60	      3.75	    697.20	  29587.50
    586.04	    359.97	      1.28	      3.00	    743.10	  29520.50
    351.69	    972.48	      1.81	      4.26	    709.80	  29339.90
    220.25	    717.10	      1.75	      4.11	    725.70	  29270.70
    432.09	    891.21	      1.75	      4.10	    724.80	  28871.20
    540.74	    565.92	      1.34	      3.15	    748.40	  28029.90
    961.56	     32.59	      1.59	      3.73	    689.90	  28025.80
    298.90	    733.76	      1.71	      4.02	    727.60	  27953.00
    678.49	    191.40	      1.48	      3.48	    717.60	  27785.60
    275.53	    615.56	      1.77	      4.17	    727.10	  27447.70
    707.05	    889.71	      1.55	      3.65	    709.70	  27321.70
    356.97	     49.40	      1.65	      3.87	    721.90	  27003.00
    485.05	    730.66	      1.57	      3.68	    728.60	  26967.90
    594.16	    366.52	      1.54	      3.62	    739.50	  26881.40
    366.23	    999.16	      1.86	      4.37	    702.10	  26852.60
    924.34	     66.04	      1.46	      3.42	    694.70	  26106.10
    651.05	    720.65	      1.48	      3.48	    720.50	  25772.70
    392.59	    493.04	      1.43	      3.36	    750.10	  25738.10
    231.57	    634.32	      1.90	      4.46	    735.40	  25597.80
    532.32	    526.00	      1.39	      3.26	    748.40	  25561.30
    112.35	    323.98	      1.85	      4.34	    724.60	  25538.70
    595.90	    749.63	      1.53	      3.59	    718.60	  25382.70
    457.11	    404.35	      1.37	      3.23	    742.70	  25367.30
    868.27	    102.03	      1.47	      3.46	    699.50	  24885.70
    880.97	    565.92	      1.17	      2.75	    716.00	  24555.60
    100.44	    737.07	      1.99	      4.68	    712.80	  24265.60
    582.02	    446.32	      1.33	      3.13	    739.30	  24217.10
    100.25	    737.01	      1.97	      4.63	    713.30	  24209.50
    804.95	    117.51	      2.33	      5.49	    707.50	  24170.90
    234.49	     23.63	      1.75	      4.11	    703.10	  24034.90
    804.94	    117.40	      2.36	      5.54	    707.50	  24012.20
    161.09	     60.05	      1.80	      4.23	    707.50	  23909.80
    704.39	    736.10	      1.49	      3.49	    716.50	  23585.00
    224.27	    945.04	      1.99	      4.68	    698.20	  23415.50
    478.50	    590.32	      1.57	      3.68	    739.30	  22944.00
    703.02	    270.51	      1.25	      2.95	    719.50	  22546.00
    519.63	    715.44	      1.52	      3.57	    723.90	  22459.10
    987.27	    831.79	      1.62	      3.80	    708.40	  22453.20
    879.53	    431.42	      1.36	      3.19	    712.60	  22423.90
    817.17	    269.75	      1.28	      3.01	    712.10	  22394.80
    849.59	    852.49	      1.68	      3.94	    704.30	  22213.50
     79.12	    377.45	      2.08	      4.89	    723.10	  22058.90
    686.97	    850.70	      1.53	      3.59	    705.10	  22005.20
    517.32	    230.10	      1.58	      3.71	    725.40	  21970.30
    273.48	    457.43	      1.85	      4.36	    752.90	  21893.00
    664.92	    237.74	      1.29	      3.04	    715.30	  21861.20
    583.76	    470.07	      1.29	      3.03	    736.50	  21641.60
    427.02	    431.32	      1.40	      3.29	    751.90	  21168.40
    771.41	    330.33	      1.39	      3.27	    717.40	  20757.40
    897.94	    360.64	      1.21	      2.85	    708.90	  20671.00
    322.74	    690.93	      1.62	      3.80	    722.70	  20632.10
    667.96	    344.72	      1.26	      2.96	    716.90	  20619.00
    277.44	    101.12	      1.75	      4.12	    714.30	  20590.40
    579.43	    239.42	      1.49	      3.51	    714.30	  20482.00
    661.55	    104.71	      1.41	      3.32	    707.30	  20434.40
    334.65	    902.34	      1.73	      4.06	    712.30	  20372.00
    825.47	    105.64	      1.51	      3.55	    704.90	  20370.90
    334.67	    902.32	      1.75	      4.10	    712.40	  20367.70
    874.33	    490.05	      1.23	      2.90	    710.20	  20315.90
    344.74	    611.36	      1.51	      3.56	    744.30	  20287.20
    769.82	    832.12	      1.49	      3.49	    706.50	  20089.70
    444.35	    301.05	      1.54	      3.61	    736.60	  19948.30
    354.43	    605.49	      1.75	      4.12	    733.90	  19843.90
    359.49	    487.97	      1.64	      3.86	    750.40	  19825.80
    556.97	    271.59	      1.34	      3.14	    721.80	  19738.50
    507.73	    233.08	      1.39	      3.27	    728.30	  19660.00
    467.06	    488.70	      1.38	      3.23	    749.60	  19603.10
    463.73	    428.19	      1.36	      3.20	    746.90	  19551.50
    730.32	    741.83	      1.69	      3.97	    712.40	  19386.30
    729.97	    663.25	      1.61	      3.78	    721.30	  19366.80
    324.82	    509.08	      1.46	      3.44	    734.50	  19030.60
    684.89	    671.27	      1.54	      3.62	    723.60	  18947.40
    284.06	    806.48	      1.90	      4.47	    710.60	  18945.00
    341.69	    728.54	      1.59	      3.75	    718.90	  18911.00
    359.58	    715.70	      1.72	      4.04	    722.40	  18778.90
    359.57	    716.30	      1.56	      3.68	    722.30	  18563.00
    941.67	    514.98	      1.32	      3.10	    703.60	  18540.00
    359.67	    716.11	      1.62	      3.80	    722.60	  18503.60
    807.32	    632.47	      1.52	      3.57	    717.70	  18386.50
    233.37	     93.10	      1.92	      4.51	    715.50	  18198.80
    820.02	    511.90	      1.34	      3.16	    712.80	  18034.00
    246.53	    847.49	      1.90	      4.46	    716.70	  17979.50
    276.68	    734.46	      1.67	      3.92	    716.30	  17968.20
    837.82	    847.28	      1.56	      3.67	    707.70	  17821.10
    165.59	    837.30	      1.89	      4.45	    702.10	  17533.20
    606.07	    468.01	      1.29	      3.02	    737.80	  17477.70
    239.49	    785.47	      1.82	      4.28	    715.90	  17326.70
    989.95	    296.07	      1.22	      2.87	    699.70	  17140.50
    429.22	    544.84	      1.51	      3.54	    741.40	  16946.70
    388.21	    935.22	      1.87	      4.39	    714.00	  16889.40
    481.02	    712.64	      1.55	      3.64	    721.20	  16827.90
    306.33	    735.59	      1.57	      3.68	    739.80	  16711.20
    363.94	    185.18	      1.99	      4.67	    719.50	  16611.00
    761.97	    724.98	      1.40	      3.30	    714.50	  16527.30
    306.72	    735.79	      1.82	      4.28	    740.30	  16524.40
     70.17	    480.44	      1.98	      4.66	    714.80	  16503.40
    334.74	    940.86	      1.85	      4.35	    705.10	  16479.50
    334.75	    940.80	      1.86	      4.36	    705.30	  16413.50
    347.42	     34.01	      1.76	      4.13	    713.50	  16286.00
    431.89	    133.42	      1.66	      3.91	    719.50	  16083.70
    316.13	    742.67	      1.74	      4.09	    728.80	  15961.30
     22.02	    177.65	      2.21	      5.20	    706.80	  15887.50
    438.54	    545.53	      1.58	      3.71	    742.80	  15484.20
    399.03	    186.95	      1.09	      2.57	    724.00	  15484.00
    203.93	    408.89	      1.87	      4.40	    734.90	  15406.10
    885.53	    645.09	      1.35	      3.17	    705.30	  15288.50
    112.49	    812.48	      1.91	      4.48	    713.20	  15285.80
    942.94	    343.50	      1.24	      2.91	    707.40	  14852.80
    685.09	    468.72	      1.63	      3.84	    746.70	  14700.70
    895.96	    850.93	      1.49	      3.49	    712.90	  14621.40
    911.10	    154.25	      1.33	      3.13	    697.70	  14578.20
    621.50	    138.38	      1.57	      3.70	    712.60	  14513.40
    572.04	     94.08	      1.40	      3.28	    722.10	  14281.10
    224.06	    598.51	      1.73	      4.07	    733.20	  14180.30
    860.28	    827.13	      1.47	      3.44	    701.10	  14130.40
    530.23	    719.84	      1.56	      3.66	    723.20	  14080.60
    995.04	     17.77	      2.49	      5.85	    688.60	  13990.00
    297.06	    393.03	      1.76	      4.14	    746.10	  13989.40
     18.18	    480.73	      1.98	      4.66	    712.00	  13988.70
    170.78	    222.29	      1.69	      3.96	    737.10	  13870.20
    855.62	    564.46	      1.40	      3.30	    714.40	  13827.90
    533.92	    539.44	      1.46	      3.43	    739.80	  13808.10
    399.03	    187.45	      1.99	      4.67	    724.40	  13611.40
    806.96	    648.99	      1.29	      3.03	    713.60	  13515.60
    414.48	    663.35	      1.60	      3.76	    726.90	  13380.60
     34.84	    397.54	      2.36	      5.55	    720.20	  13205.80
    471.92	    677.61	      1.58	      3.70	    727.20	  13085.30
    595.27	    441.00	      1.60	      3.76	    738.40	  13084.80
    813.57	    988.34	      1.58	      3.71	    698.60	  13005.30
    531.06	    320.68	      1.33	      3.11	    725.40	  12792.70
    392.95	    736.79	      1.63	      3.84	    718.40	  12676.50
    700.58	    620.49	      1.45	      3.41	    722.80	  12530.50
    887.28	     40.04	      1.66	      3.91	    697.70	  12435.40
    208.59	    938.86	      2.05	      4.83	    704.60	  12311.90
    246.37	    626.44	      1.98	      4.64	    728.00	  12173.90
    946.58	    816.59	      1.71	      4.02	    699.20	  12172.30
    915.00	    189.68	      1.26	      2.97	    699.30	  12151.00
     35.30	    397.80	      2.85	      6.70	    720.60	  12140.60
    870.97	    127.64	      1.28	      3.01	    708.20	  12063.40
    570.06	    212.57	      1.53	      3.60	    713.80	  12053.90
    761.98	    672.97	      1.62	      3.80	    724.20	  11910.90
    748.59	    239.64	      1.38	      3.25	    711.90	  11790.50
    277.81	    843.95	      1.87	      4.40	    708.30	  11787.60
    742.33	    762.98	      1.47	      3.46	    711.10	  11720.00
    303.24	    864.23	      1.88	      4.42	    711.70	  11692.00
    534.75	    848.95	      1.63	      3.83	    717.00	  11640.20
    248.04	    487.95	      1.66	      3.89	    738.90	  11617.40
    939.98	    711.01	      1.38	      3.25	    703.80	  11610.10
    340.23	    229.80	      1.78	      4.19	    723.10	  11609.10
    778.98	    356.31	      1.84	      4.32	    718.10	  11600.10
    205.36	    846.85	      2.21	      5.20	    713.30	  11597.60
     15.51	    202.43	      1.84	      4.33	    707.80	  11579.60
    844.99	    521.37	      1.14	      2.67	    714.10	  11559.90
    422.24	    709.14	      1.57	      3.68	    747.30	  11397.90
    881.96	    291.66	      1.24	      2.91	    705.90	  11268.60
    399.27	    253.92	      1.71	      4.02	    721.30	  11096.60
    650.01	    384.35	      1.49	      3.51	    727.10	  11063.70
    930.96	    127.35	      1.46	      3.43	    697.80	  10923.70
     60.08	    540.49	      1.90	      4.46	    705.10	  10843.60
    772.03	     40.37	      1.53	      3.59	    699.50	  10796.60
     41.91	    488.77	      1.98	      4.66	    721.40	  10723.70
    661.17	    149.19	      1.55	      3.65	    712.50	  10716.40
