Refer to https://github.com/lutherastrophysics/new_ref_file for more info
Star Data Extractor Tool
    Images: m23_3.5_071.fit (2003) and m23_7.0_2022-06-19_0028.fit
    Stars Found: 2508 (good stars) in 2003 img + 1246 in 2022
    Radius of star diaphragm:
    Sky annulus inner radius:
    Sky annulus outer radius:
    Threshold factor: High =
         X	         Y	     Sigma	      FWHM	   Sky ADU	  Star ADU
    629.94	     28.81	      1.66	      3.91	    705.40	   1376.60
    969.26	    419.05	      1.29	      3.03	    702.40	   1374.60
    705.92	    906.83	      1.54	      3.61	    701.50	   1374.40
    876.59	    951.75	      1.67	      3.92	    695.70	   1371.30
    849.52	    570.95	      1.32	      3.09	    712.80	   1370.90
    875.27	    353.24	      1.41	      3.32	    708.90	   1369.90
    518.03	    646.48	      1.45	      3.42	    729.20	   1368.20
    553.50	    943.12	      1.96	      4.61	    705.60	   1367.50
    716.26	    864.63	      1.60	      3.75	    703.40	   1367.20
    369.00	    234.51	      2.47	      5.80	    718.20	   1366.40
    831.64	    755.30	      2.65	      6.23	    708.20	   1364.90
    908.99	    983.00	      1.75	      4.11	    685.80	   1363.80
    720.51	    886.41	      1.69	      3.97	    706.40	   1363.30
    777.22	    894.75	      1.60	      3.76	    704.50	   1362.60
    527.31	    763.68	      2.41	      5.67	    718.40	   1361.40
    662.84	    119.83	      1.66	      3.90	    707.30	   1359.60
    973.03	    793.87	      2.17	      5.09	    702.00	   1356.60
    525.68	    574.93	      1.59	      3.73	    739.30	   1354.30
    973.03	    793.87	      2.16	      5.09	    702.00	   1353.20
    477.05	    779.30	      1.61	      3.78	    720.10	   1352.80
    408.82	    208.32	      2.00	      4.70	    715.60	   1352.70
    281.77	    569.93	      1.75	      4.10	    723.50	   1347.10
    764.06	    960.00	      1.69	      3.96	    699.10	   1345.00
    286.33	    473.78	      1.94	      4.57	    742.20	   1343.80
    622.30	     67.15	      1.71	      4.02	    708.30	   1342.30
    993.28	    241.01	      1.46	      3.42	    692.00	   1342.00
     98.93	    360.94	      1.90	      4.48	    718.40	   1340.70
    651.99	    612.60	      1.61	      3.78	    730.40	   1338.80
    373.94	    801.92	      1.93	      4.53	    717.80	   1337.20
    214.08	    864.90	      1.80	      4.23	    711.70	   1334.30
    249.55	    693.11	      2.82	      6.64	    719.70	   1333.90
    373.95	    801.93	      1.93	      4.53	    717.90	   1331.90
    819.01	    816.87	      2.68	      6.30	    703.20	   1331.50
    327.54	    877.00	      1.81	      4.25	    717.60	   1325.80
    905.53	    317.54	      1.56	      3.67	    710.30	   1324.30
    681.69	    743.91	      1.46	      3.44	    715.00	   1323.00
    468.28	    634.21	      2.09	      4.90	    727.70	   1321.60
    558.36	    125.15	      2.33	      5.47	    716.00	   1321.20
    308.08	    489.00	      1.53	      3.59	    742.30	   1318.70
     44.50	    120.96	      2.42	      5.69	    703.00	   1313.00
    503.98	    807.80	      2.37	      5.58	    718.90	   1311.70
    491.89	    784.09	      1.79	      4.20	    721.70	   1311.10
    583.73	    153.20	      2.16	      5.08	    712.30	   1310.90
    893.54	    909.92	      1.72	      4.05	    695.90	   1310.40
    313.30	    281.99	      1.69	      3.97	    731.40	   1310.00
    910.07	    885.97	      1.47	      3.45	    696.60	   1309.00
     74.38	    391.88	      1.78	      4.18	    719.10	   1308.70
    470.69	    410.10	      1.40	      3.28	    741.70	   1308.60
    477.98	    956.49	      1.93	      4.53	    706.40	   1308.00
    818.99	    816.64	      2.73	      6.42	    703.40	   1306.30
    583.00	    776.44	      2.73	      6.40	    717.00	   1305.50
    822.65	    217.83	      1.75	      4.12	    710.10	   1304.60
    605.74	    220.39	      2.25	      5.28	    722.40	   1304.00
    818.91	     17.39	      1.62	      3.80	    696.90	   1303.30
    497.07	    266.35	      1.57	      3.69	    723.00	   1302.30
    628.03	    664.92	      1.94	      4.57	    720.90	   1302.20
    216.52	    735.48	      1.77	      4.16	    711.10	   1300.20
    225.89	    538.63	      2.02	      4.74	    723.10	   1298.40
    697.03	    869.96	      2.48	      5.84	    704.80	   1298.00
    559.93	    542.67	      1.31	      3.08	    739.50	   1297.80
    188.39	    398.29	      1.81	      4.25	    729.40	   1296.50
    682.49	    308.87	      1.64	      3.85	    719.90	   1295.80
    468.55	    634.28	      2.08	      4.89	    728.10	   1291.40
    958.33	    924.95	      1.70	      4.00	    692.70	   1289.80
    671.25	    750.53	      1.88	      4.42	    714.20	   1288.60
    797.02	    570.03	      1.38	      3.24	    714.00	   1288.30
    582.86	    727.92	      1.90	      4.46	    722.10	   1286.40
    865.49	    458.97	      1.67	      3.91	    712.30	   1285.90
    919.86	    676.48	      1.30	      3.06	    699.90	   1285.50
    959.03	   1005.02	      1.70	      3.98	    681.50	   1284.20
    850.09	    527.13	      1.72	      4.03	    711.70	   1283.80
    275.62	    602.07	      1.53	      3.59	    725.30	   1283.60
    111.58	    500.95	      1.87	      4.41	    718.90	   1281.20
     44.64	    120.97	      2.37	      5.58	    703.00	   1280.30
    889.98	    793.95	      2.15	      5.05	    703.60	   1278.30
    215.08	    567.65	      2.84	      6.67	    725.20	   1277.80
    814.95	    948.13	      2.37	      5.58	    703.60	   1277.30
    799.11	     53.35	      1.51	      3.54	    700.90	   1274.00
    460.89	    963.08	      2.14	      5.02	    705.60	   1273.30
    122.73	    154.96	      2.27	      5.33	    719.20	   1272.90
    818.90	     17.54	      1.63	      3.84	    697.10	   1271.90
    473.98	    290.39	      1.88	      4.41	    732.60	   1269.90
    122.73	    154.96	      2.27	      5.33	    719.30	   1268.50
    760.04	    469.31	      1.13	      2.66	    728.50	   1267.00
    502.30	    391.57	      1.60	      3.76	    740.20	   1264.30
    581.09	    912.73	      2.80	      6.58	    709.50	   1261.40
    254.10	    588.04	      2.72	      6.38	    724.90	   1258.60
    559.97	    977.24	      2.06	      4.83	    703.30	   1257.40
    360.00	    667.30	      1.68	      3.94	    727.80	   1256.70
    826.02	    720.07	      2.85	      6.70	    710.30	   1256.60
    730.08	    259.02	      1.30	      3.06	    714.30	   1255.60
    898.74	    759.34	      1.64	      3.86	    704.90	   1255.60
    571.78	    417.93	      1.63	      3.84	    732.50	   1254.70
    248.91	    105.93	      1.80	      4.23	    711.10	   1254.50
     89.04	    520.72	      2.06	      4.84	    707.60	   1252.90
    168.15	     90.00	      2.60	      6.12	    712.80	   1252.60
    499.95	    408.15	      2.50	      5.88	    737.90	   1252.40
    197.06	    180.00	      1.85	      4.34	    727.90	   1251.30
    347.72	    152.89	      1.53	      3.59	    714.40	   1249.80
    793.03	    285.32	      1.44	      3.40	    713.10	   1249.30
    444.53	    868.94	      2.01	      4.72	    713.80	   1248.30
     80.54	     86.02	      1.69	      3.98	    708.60	   1247.40
    717.10	    935.35	      1.61	      3.79	    698.20	   1246.00
    692.01	    631.01	      2.38	      5.59	    725.00	   1245.80
    444.51	    869.34	      1.79	      4.20	    713.60	   1244.70
    867.96	    792.48	      1.70	      4.00	    704.70	   1241.90
    590.07	    778.21	      1.43	      3.37	    727.80	   1239.10
    950.31	    247.01	      1.37	      3.21	    699.40	   1236.40
    623.26	    526.65	      1.80	      4.22	    733.00	   1236.30
    111.58	    906.00	      2.07	      4.86	    694.60	   1235.30
    542.02	    693.51	      1.87	      4.41	    723.50	   1234.80
    542.76	    983.17	      2.03	      4.78	    700.80	   1231.90
    326.60	    475.52	      2.25	      5.30	    748.10	   1230.30
    137.84	   1005.67	      1.98	      4.66	    698.60	   1230.30
    526.40	   1002.74	      1.79	      4.20	    704.10	   1227.60
    358.04	    899.52	      1.94	      4.56	    714.80	   1227.00
    712.05	    657.50	      1.40	      3.30	    721.40	   1225.30
    340.46	    405.43	      2.61	      6.13	    746.40	   1224.30
    347.06	    358.29	      2.48	      5.83	    746.50	   1224.30
    926.66	    655.99	      1.32	      3.11	    702.10	   1220.40
    281.76	    631.43	      2.06	      4.84	    721.00	   1220.40
    734.41	    817.20	      2.19	      5.14	    705.80	   1220.30
    357.65	    273.01	      2.13	      5.00	    726.60	   1218.80
    922.52	     88.51	      2.59	      6.10	    693.10	   1216.10
    834.64	    628.03	      1.52	      3.58	    713.70	   1214.30
    791.79	    227.34	      1.35	      3.18	    711.10	   1212.60
    605.54	    220.15	      2.17	      5.10	    722.60	   1212.20
    910.03	    538.99	      1.50	      3.52	    708.30	   1211.60
    632.00	    335.81	      2.03	      4.76	    723.90	   1210.10
    682.69	    354.18	      1.64	      3.85	    718.30	   1209.30
    414.08	    982.45	      2.21	      5.18	    711.10	   1208.70
    282.15	    924.27	      1.84	      4.32	    708.30	   1207.20
    398.04	    679.93	      2.34	      5.49	    735.00	   1206.00
    758.98	    709.63	      1.90	      4.46	    723.90	   1205.00
    652.95	   1010.46	      1.78	      4.17	    700.20	   1203.90
    642.76	    918.14	      2.21	      5.21	    703.60	   1203.00
    843.00	    511.99	      1.37	      3.22	    712.20	   1202.40
    159.81	    193.60	      1.88	      4.41	    726.00	   1201.60
    383.79	    992.16	      1.97	      4.63	    700.20	   1201.00
    111.11	    566.09	      2.22	      5.23	    712.70	   1199.90
    475.85	    193.65	      2.58	      6.07	    714.60	   1198.90
    978.42	    791.15	      2.82	      6.63	    700.40	   1198.30
    824.15	    329.09	      1.31	      3.08	    710.30	   1197.40
     75.97	    303.96	      2.76	      6.48	    716.20	   1197.10
    565.11	    266.09	      1.21	      2.85	    726.10	   1195.90
   1003.68	    277.22	      1.50	      3.53	    698.90	   1195.60
    150.91	    971.92	      2.17	      5.09	    693.30	   1192.80
    236.05	     34.01	      1.98	      4.66	    706.00	   1192.50
    168.33	    983.60	      2.38	      5.60	    694.40	   1192.40
    415.03	   1003.07	      2.02	      4.76	    701.30	   1192.30
    711.18	   1003.33	      2.05	      4.82	    700.40	   1191.30
    815.49	    310.99	      1.28	      3.01	    709.90	   1191.30
    419.44	    274.94	      1.34	      3.14	    723.50	   1190.70
    583.07	    581.33	      2.39	      5.62	    732.70	   1186.40
    853.47	    783.83	      1.70	      4.00	    704.30	   1186.00
    853.47	    783.83	      1.70	      4.00	    704.40	   1183.00
     68.12	    404.06	      2.37	      5.57	    715.90	   1182.80
    511.00	    581.33	      2.31	      5.43	    736.00	   1180.80
    510.98	    469.04	      3.07	      7.20	    744.00	   1180.50
     75.98	    303.97	      2.76	      6.49	    716.20	   1179.80
    604.34	    342.13	      1.97	      4.63	    725.40	   1178.50
    581.33	    615.80	      1.75	      4.11	    728.30	   1177.40
    732.11	    317.08	      1.44	      3.38	    715.60	   1176.40
    347.21	    358.20	      2.49	      5.84	    746.80	   1176.30
     73.60	    874.51	      1.98	      4.65	    697.70	   1173.90
    658.37	    839.86	      1.83	      4.30	    706.20	   1170.00
    588.68	    263.93	      1.61	      3.78	    723.10	   1169.90
    883.46	    278.85	      1.47	      3.45	    706.40	   1169.70
    471.58	    323.33	      1.78	      4.18	    724.20	   1168.80
    676.27	    113.14	      1.66	      3.89	    707.00	   1168.50
    685.29	    324.94	      1.59	      3.74	    719.40	   1166.70
    133.82	    572.78	      1.84	      4.32	    714.30	   1165.60
    261.00	    857.50	      2.06	      4.85	    709.40	   1164.80
    602.66	    661.89	      1.65	      3.89	    723.80	   1162.60
    652.58	    796.00	      2.54	      5.98	    708.50	   1160.70
    842.08	    202.01	      1.53	      3.59	    705.30	   1158.80
    331.76	     64.05	      1.47	      3.46	    713.50	   1158.20
    695.90	    916.62	      1.75	      4.11	    702.20	   1155.90
    505.04	    865.87	      1.84	      4.33	    716.40	   1155.50
     17.55	    372.01	      2.30	      5.40	    717.30	   1154.80
    122.08	    773.23	      2.69	      6.32	    706.00	   1153.60
    396.57	     46.86	      1.90	      4.47	    714.60	   1152.90
     17.75	    372.01	      2.33	      5.48	    717.30	   1150.20
    978.88	    790.98	      1.94	      4.56	    700.40	   1149.10
     17.75	    372.01	      2.33	      5.47	    717.30	   1146.60
    331.52	    385.00	      2.05	      4.81	    744.80	   1145.90
    300.98	    653.97	      1.75	      4.12	    726.20	   1144.20
    631.10	     14.70	      1.69	      3.96	    701.00	   1141.30
    243.79	    605.81	      1.62	      3.82	    736.90	   1139.70
    393.00	    418.50	      1.54	      3.62	    753.30	   1138.50
    372.53	    942.50	      1.74	      4.09	    712.40	   1138.00
    773.18	    482.32	      1.33	      3.12	    720.70	   1137.60
    709.39	     28.55	      2.22	      5.22	    706.00	   1135.60
    448.06	    360.54	      1.56	      3.67	    725.20	   1133.40
    207.82	    269.37	      1.89	      4.44	    728.10	   1133.30
    418.60	    384.58	      1.48	      3.49	    742.30	   1132.70
    895.05	     75.06	      1.64	      3.85	    697.80	   1132.20
    776.17	    216.81	      1.53	      3.60	    708.40	   1131.20
    766.99	    809.30	      1.67	      3.92	    707.80	   1129.30
    396.69	     46.79	      1.79	      4.21	    714.50	   1127.00
    978.70	    790.98	      1.88	      4.42	    700.70	   1126.20
    999.99	    142.00	      1.45	      3.40	    690.70	   1125.90
    992.02	    228.06	      1.47	      3.46	    691.20	   1125.50
    122.07	    773.04	      2.67	      6.28	    705.90	   1125.30
    841.89	    902.21	      1.79	      4.20	    701.30	   1124.90
    785.91	    410.06	      1.34	      3.14	    719.70	   1123.90
    472.06	    440.94	      1.41	      3.32	    745.50	   1122.90
    829.70	    474.80	      1.39	      3.26	    717.60	   1121.90
    680.01	    600.90	      1.62	      3.80	    724.60	   1121.80
    203.68	    821.83	      2.93	      6.89	    707.90	   1119.70
    554.32	    342.08	      2.48	      5.83	    726.90	   1119.40
    979.76	     35.69	      1.65	      3.89	    693.30	   1119.20
    384.12	    113.40	      1.80	      4.23	    713.20	   1118.20
    343.93	    527.17	      1.91	      4.50	    737.10	   1117.50
    368.29	    292.03	      2.84	      6.67	    724.60	   1115.50
    866.43	    195.93	      1.48	      3.48	    702.60	   1115.50
    848.70	    736.72	      1.72	      4.05	    704.80	   1113.70
    661.87	    644.97	      1.94	      4.56	    719.60	   1113.30
    584.24	    955.57	      1.63	      3.84	    706.40	   1112.20
    635.30	    331.07	      2.39	      5.63	    721.60	   1108.40
    931.68	    761.17	      1.65	      3.88	    702.70	   1108.10
    668.64	    381.55	      2.54	      5.97	    732.60	   1108.00
    422.09	    413.48	      1.63	      3.83	    750.50	   1107.80
    168.70	    958.88	      2.54	      5.98	    697.50	   1107.60
    584.19	    955.45	      1.64	      3.85	    706.30	   1106.30
    571.40	     35.99	      1.58	      3.71	    707.60	   1104.90
    876.45	    330.50	      1.52	      3.56	    710.00	   1103.90
    312.40	     59.74	      2.04	      4.79	    708.60	   1102.40
    101.93	    957.96	      2.16	      5.07	    691.50	   1102.10
    957.88	    298.73	      1.34	      3.14	    699.20	   1101.90
    814.15	    925.99	      2.03	      4.77	    696.30	   1100.80
    138.06	    250.98	      1.99	      4.68	    723.50	   1100.30
    518.83	    412.14	      1.75	      4.11	    740.00	   1098.10
    278.47	    233.54	      2.09	      4.92	    730.30	   1095.50
     13.50	    408.74	      1.89	      4.45	    714.40	   1095.10
    250.78	    332.56	      1.76	      4.13	    730.90	   1093.50
    793.96	    993.93	      1.75	      4.10	    695.60	   1093.10
    860.96	    403.05	      1.31	      3.07	    712.10	   1092.90
    657.51	     51.10	      1.48	      3.48	    708.10	   1090.30
    399.67	    840.88	      1.97	      4.64	    712.30	   1089.00
    945.04	    761.41	      1.53	      3.60	    704.80	   1088.70
    937.93	    592.67	      1.64	      3.86	    705.70	   1087.90
    316.55	    876.47	      1.69	      3.96	    708.80	   1086.70
    399.67	    840.87	      1.97	      4.63	    712.40	   1085.00
    834.06	    962.44	      2.24	      5.26	    694.30	   1084.20
    232.22	    767.88	      2.20	      5.18	    715.60	   1083.70
    475.50	    984.55	      2.31	      5.44	    705.60	   1081.70
     13.63	    408.76	      1.99	      4.68	    714.50	   1080.20
    684.32	    111.55	      1.62	      3.81	    707.30	   1080.10
    562.13	    460.94	      1.30	      3.05	    742.40	   1079.60
    779.41	    638.14	      1.52	      3.56	    716.90	   1074.80
    556.34	    258.04	      1.34	      3.15	    718.80	   1074.60
    931.90	    171.72	      1.40	      3.28	    695.60	   1074.50
    309.54	    534.94	      1.64	      3.86	    729.30	   1074.30
    799.04	    918.61	      1.43	      3.37	    699.20	   1073.20
    207.00	    431.51	      1.80	      4.22	    730.90	   1072.10
    132.88	    953.52	      2.72	      6.39	    696.00	   1071.20
    207.00	    431.51	      1.80	      4.22	    730.90	   1070.20
    155.43	    142.28	      2.17	      5.10	    716.50	   1070.10
     59.38	    166.93	      2.63	      6.18	    705.00	   1069.50
    805.06	     44.76	      1.73	      4.08	    697.70	   1069.40
    441.51	    119.19	      1.69	      3.96	    712.60	   1067.60
    772.01	    933.23	      1.78	      4.18	    699.10	   1067.30
    618.07	     91.97	      2.44	      5.73	    707.20	   1065.20
    281.06	    513.09	      2.08	      4.90	    731.70	   1062.60
    684.29	    111.68	      1.62	      3.81	    707.10	   1062.20
    924.11	    152.54	      1.35	      3.17	    697.80	   1060.40
    280.10	    663.72	      2.25	      5.29	    719.80	   1055.10
    340.87	    188.11	      1.48	      3.48	    725.20	   1054.90
    278.44	    233.18	      2.06	      4.83	    730.70	   1053.10
    668.17	    381.63	      2.03	      4.77	    732.30	   1051.60
    637.08	    510.56	      2.45	      5.76	    734.40	   1051.50
    473.14	    942.56	      1.97	      4.62	    705.10	   1050.90
    494.03	     92.11	      1.54	      3.61	    711.10	   1050.60
    956.10	    950.03	      1.97	      4.64	    689.00	   1049.90
    426.79	    217.89	      2.15	      5.06	    735.50	   1047.90
    988.87	    906.93	      1.63	      3.83	    695.20	   1047.30
    477.16	    213.47	      1.85	      4.35	    719.20	   1047.30
    248.03	    816.68	      2.08	      4.89	    707.20	   1046.80
    347.58	    779.34	      2.38	      5.60	    717.70	   1045.30
    753.31	    854.67	      1.83	      4.30	    702.60	   1044.60
    370.52	    784.03	      2.14	      5.02	    716.60	   1043.40
    577.19	    985.83	      2.40	      5.63	    702.20	   1042.10
    359.00	    127.54	      1.86	      4.38	    719.70	   1041.20
    470.43	    265.97	      1.34	      3.15	    722.10	   1040.60
    588.90	    947.03	      2.22	      5.21	    700.40	   1038.80
    129.74	    446.05	      1.75	      4.12	    721.90	   1038.60
    711.95	    320.98	      1.56	      3.67	    716.30	   1035.80
    477.19	    213.36	      1.84	      4.33	    719.40	   1035.50
    252.07	    605.35	      1.73	      4.07	    729.10	   1034.90
    743.49	    356.08	      1.40	      3.29	    717.60	   1032.80
    732.91	    595.02	      1.33	      3.13	    720.70	   1032.30
    471.14	    226.69	      2.52	      5.91	    720.90	   1031.50
    684.17	    111.63	      1.59	      3.73	    707.30	   1031.50
    617.71	    737.97	      2.85	      6.70	    717.40	   1030.00
    327.11	    665.04	      1.75	      4.12	    724.00	   1027.90
    962.90	    945.96	      1.63	      3.83	    689.50	   1027.60
    204.70	    288.70	      2.35	      5.53	    727.10	   1026.10
    327.11	    665.04	      1.75	      4.12	    724.00	   1025.90
    398.05	    884.50	      2.12	      4.98	    715.60	   1025.50
    797.96	    592.09	      1.78	      4.19	    730.80	   1024.40
    229.20	    570.33	      2.47	      5.80	    719.90	   1024.10
     99.67	    779.19	      2.07	      4.87	    707.50	   1024.00
    745.43	    795.10	      1.43	      3.36	    707.10	   1023.30
    597.02	    512.66	      1.49	      3.50	    732.90	   1022.00
    573.52	    754.49	      1.55	      3.64	    717.10	   1019.60
    210.91	    580.21	      1.82	      4.28	    722.20	   1019.10
    781.75	     18.89	      1.42	      3.35	    709.30	   1018.50
    672.63	    922.13	      2.04	      4.79	    699.50	   1017.90
    159.98	    193.91	      2.11	      4.95	    726.60	   1017.20
    910.96	    359.05	      1.53	      3.61	    707.90	   1016.60
    876.00	    416.01	      1.54	      3.61	    713.40	   1016.40
    179.46	    751.01	      1.98	      4.66	    709.40	   1014.30
    450.06	    144.58	      2.05	      4.81	    714.60	   1012.50
    795.51	    340.02	      1.43	      3.36	    715.90	   1012.40
    517.96	    198.44	      1.55	      3.63	    715.90	   1011.90
    898.34	    702.92	      1.63	      3.84	    703.70	   1010.40
    843.33	    318.99	      1.71	      4.02	    712.10	   1009.50
   1009.04	    755.87	      1.65	      3.89	    697.80	   1009.20
    299.04	    746.95	      1.68	      3.94	    731.60	   1005.40
    765.26	    430.60	      1.32	      3.11	    724.00	   1005.00
    912.04	    291.10	      1.11	      2.61	    705.90	   1004.50
    695.90	     38.01	      1.42	      3.33	    707.50	   1004.50
    481.61	    747.95	      1.47	      3.45	    725.40	   1004.30
    912.04	    291.10	      1.11	      2.61	    705.90	   1004.10
    539.25	   1008.70	      2.02	      4.76	    700.40	   1002.20
    628.51	    376.54	      1.77	      4.15	    727.40	   1001.90
     23.90	    195.15	      1.74	      4.08	    712.70	   1000.10
    505.08	    470.02	      1.49	      3.51	    745.20	    999.50
    630.96	    927.90	      2.41	      5.66	    707.50	    998.70
    785.01	    115.00	      1.43	      3.36	    706.30	    997.10
    609.91	    330.59	      2.05	      4.81	    726.10	    996.90
    242.73	    548.30	      2.49	      5.84	    723.60	    996.30
    635.02	     92.55	      2.15	      5.04	    708.30	    994.80
    233.67	    651.77	      1.84	      4.32	    728.20	    993.00
    286.55	    720.47	      1.86	      4.37	    717.40	    989.90
    901.34	    921.30	      1.87	      4.39	    693.70	    989.80
     53.27	    685.00	      2.24	      5.26	    703.10	    987.90
    205.32	    629.64	      2.23	      5.24	    717.90	    986.90
    771.69	    643.05	      1.65	      3.88	    720.40	    985.50
    444.55	     47.94	      1.55	      3.64	    707.70	    982.90
    685.06	   1005.23	      1.63	      3.83	    696.60	    981.70
    515.02	    797.94	      2.72	      6.40	    715.50	    980.60
    621.72	    490.00	      2.94	      6.92	    734.20	    979.80
     93.83	   1006.20	      2.14	      5.03	    688.40	    977.20
    471.47	    226.89	      2.35	      5.51	    720.90	    977.10
    446.17	    936.30	      1.86	      4.37	    707.80	    976.30
    961.90	    368.49	      1.19	      2.80	    703.60	    975.80
    829.30	    848.04	      1.52	      3.58	    707.90	    975.60
    567.01	    196.06	      1.41	      3.32	    722.80	    973.20
    897.96	    408.89	      1.29	      3.04	    708.40	    966.80
    610.29	    411.06	      2.71	      6.37	    729.90	    965.20
    928.12	    113.56	      1.21	      2.84	    695.50	    963.00
    612.01	    482.49	      1.70	      4.01	    734.00	    960.70
    944.67	    847.79	      1.61	      3.78	    701.30	    960.20
    724.18	    107.99	      2.01	      4.72	    708.60	    957.50
     97.03	    911.52	      1.96	      4.60	    692.40	    955.10
    944.83	    847.67	      1.61	      3.79	    701.40	    953.90
    487.51	    768.95	      1.91	      4.49	    720.60	    953.90
    751.24	     60.99	      1.27	      2.99	    701.50	    953.70
    259.58	    133.12	      1.60	      3.75	    711.60	    953.40
    299.12	    699.94	      1.74	      4.08	    728.60	    953.30
    740.98	    310.01	      1.47	      3.46	    723.30	    949.40
     60.71	    458.97	      2.07	      4.86	    719.20	    948.90
    178.34	    228.02	      1.69	      3.98	    731.30	    948.40
    252.33	     38.96	      1.95	      4.57	    707.20	    948.20
    343.85	    353.64	      2.13	      4.99	    746.00	    947.80
    278.75	    203.12	      2.03	      4.77	    719.30	    947.30
     43.28	    386.79	      2.72	      6.40	    716.40	    945.00
    628.26	    577.28	      2.03	      4.77	    728.60	    941.20
    222.08	    121.08	      2.62	      6.17	    716.90	    940.00
    877.92	    766.90	      1.56	      3.66	    705.10	    939.50
    569.98	    355.16	      1.69	      3.97	    727.20	    939.10
    997.90	    283.12	      2.17	      5.11	    698.10	    936.90
    147.52	    113.84	      1.82	      4.27	    715.50	    935.50
    628.20	    556.04	      1.21	      2.84	    734.60	    934.20
    497.46	    316.48	      2.06	      4.83	    723.60	    933.80
    882.99	    686.99	      2.36	      5.54	    706.90	    933.60
    617.74	     21.06	      2.18	      5.13	    704.30	    931.50
    612.94	    122.37	      1.89	      4.43	    712.20	    930.50
    301.44	    757.26	      2.25	      5.29	    720.80	    930.00
    858.56	    876.42	      1.76	      4.13	    702.40	    929.70
    997.90	    283.12	      2.17	      5.11	    698.10	    928.90
    663.58	    766.04	      1.85	      4.36	    717.80	    928.70
    956.30	    282.03	      2.09	      4.91	    698.30	    924.60
    809.28	    482.16	      1.83	      4.31	    716.90	    924.50
    557.06	    309.91	      2.04	      4.80	    724.50	    923.80
     63.26	    181.99	      2.28	      5.35	    708.60	    923.70
     45.00	     15.91	      1.40	      3.29	    702.70	    922.40
    301.48	    757.48	      2.31	      5.42	    720.40	    922.00
    377.71	    559.69	      1.73	      4.06	    737.60	    921.20
    367.32	    117.02	      2.33	      5.48	    716.50	    921.10
    629.36	    457.11	      1.45	      3.40	    740.80	    921.00
    967.00	    544.47	      1.30	      3.05	    697.70	    919.90
     90.94	    245.76	      2.01	      4.72	    718.10	    919.10
    455.96	    785.97	      1.93	      4.53	    720.90	    918.80
    409.08	    917.91	      1.66	      3.90	    712.70	    917.90
    940.62	     30.99	      1.40	      3.28	    695.60	    917.10
    444.94	    908.94	      2.11	      4.95	    708.00	    916.60
    161.35	    578.92	      1.68	      3.96	    716.60	    916.60
    942.30	     54.15	      1.58	      3.70	    691.50	    915.00
    802.05	    559.09	      1.95	      4.59	    716.70	    914.90
    717.69	    832.08	      2.80	      6.58	    707.70	    914.30
    409.08	    917.91	      1.66	      3.90	    712.70	    911.60
   1005.90	    122.98	      2.46	      5.79	    691.20	    909.90
    253.04	    796.94	      1.70	      4.01	    710.90	    909.20
    644.27	    894.20	      1.76	      4.14	    703.50	    907.60
    304.99	    218.98	      1.68	      3.96	    721.30	    906.10
    769.96	     93.49	      1.93	      4.54	    702.30	    905.70
    798.02	    383.45	      1.60	      3.77	    716.30	    901.80
    741.02	    845.23	      1.51	      3.55	    703.20	    901.60
    639.93	    146.96	      1.35	      3.18	    714.60	    901.60
    895.32	    430.07	      1.25	      2.94	    708.90	    900.90
    499.25	    649.35	      2.77	      6.51	    730.20	    900.90
    793.40	    705.24	      1.43	      3.37	    714.60	    898.40
    763.00	    457.29	      1.34	      3.15	    733.20	    897.10
    798.00	    258.11	      1.29	      3.03	    712.20	    897.00
    948.05	    874.93	      1.48	      3.48	    696.70	    896.70
    199.09	    215.67	      1.70	      4.00	    723.90	    895.10
    796.45	    505.91	      1.51	      3.54	    717.10	    894.90
   1005.90	    122.98	      2.46	      5.79	    691.20	    892.70
    805.75	     69.45	      1.88	      4.41	    700.60	    891.80
    820.26	    240.07	      1.71	      4.01	    712.60	    890.50
    690.23	     91.14	      1.77	      4.15	    708.30	    889.40
     72.08	    170.95	      2.42	      5.69	    706.30	    889.30
    934.25	    387.88	      1.29	      3.03	    709.00	    888.30
    521.98	    897.27	      1.97	      4.63	    710.80	    888.00
    951.47	    146.50	      2.20	      5.18	    701.60	    887.40
    576.95	    838.65	      1.78	      4.17	    717.10	    886.90
    344.09	    268.08	      1.64	      3.86	    723.20	    886.70
    236.99	     53.07	      1.73	      4.06	    708.80	    886.00
    496.25	     31.02	      1.93	      4.53	    704.00	    884.60
    763.01	    457.34	      1.35	      3.17	    733.40	    883.40
    647.08	    101.54	      1.49	      3.51	    711.60	    882.80
    245.02	    912.89	      2.09	      4.90	    703.70	    882.70
    686.10	    612.09	      1.32	      3.10	    720.80	    881.70
    701.00	    651.43	      2.34	      5.51	    723.70	    881.00
    489.84	    217.97	      2.27	      5.33	    719.20	    880.70
    521.88	    993.84	      2.46	      5.78	    703.30	    880.50
    245.02	    912.90	      2.09	      4.90	    703.70	    880.40
    335.32	    499.11	      1.59	      3.73	    742.90	    880.40
    170.99	    514.24	      2.09	      4.91	    715.90	    880.20
    465.05	     85.38	      1.74	      4.09	    709.30	    879.30
    366.40	    664.85	      2.31	      5.42	    727.00	    878.00
    885.81	    165.24	      1.39	      3.27	    700.20	    877.90
    921.05	     34.33	      1.54	      3.62	    698.50	    877.70
    858.99	    127.32	      1.21	      2.85	    703.20	    877.60
    307.52	    976.00	      2.60	      6.12	    700.30	    876.60
